Approach,Dataset,Locations,Days,Evaluation,Time (s),Seed
GACC+GR,rio_de_janeiro,5,2,429.9797975,2.0327767,0
GACC+GR+BF,rio_de_janeiro,5,2,429.9797975,2.0327376,0
GAR+GI,rio_de_janeiro,5,2,396.7726907,1.342023,0
GATG,rio_de_janeiro,5,2,396.7726907,1.209909,0
GITG,rio_de_janeiro,5,2,396.7726907,0.0013912,0
GR+GI,rio_de_janeiro,5,2,457.3584771,3.36E-05,0
KM+BF,rio_de_janeiro,5,2,556.53005,0.0123102,0
KM+CH,rio_de_janeiro,5,2,556.53005,0.0129455,0
KM+GAR,rio_de_janeiro,5,2,556.53005,1.0875085,0
KM+GI,rio_de_janeiro,5,2,638.5594872,0.0121957,0
KM+GR,rio_de_janeiro,5,2,556.53005,0.0120506,0
BF+GI,riyadh,5,2,353.7899346,0.0010571,0
BFTG,riyadh,5,2,353.7899346,0.0073873,0
CH+GI,riyadh,5,2,356.6183618,0.0008878,0
GAC+GI,riyadh,5,2,543.1980515,3.4757639,0
GAC+GR,riyadh,5,2,354.2041482,2.3281871,0
GAC+GR+BF,riyadh,5,2,354.2041482,2.3281754,0
GACC+GI,riyadh,5,2,543.1980515,3.2402002,0
GACC+GR,riyadh,5,2,354.2041482,2.0881816,0
GACC+GR+BF,riyadh,5,2,354.2041482,2.088185,0
GAR+GI,riyadh,5,2,353.7899346,0.7686308,0
GATG,riyadh,5,2,353.7899346,0.8338304,0
GITG,riyadh,5,2,353.7899346,0.0012324,0
GR+GI,riyadh,5,2,354.2041482,2.26E-05,0
KM+BF,riyadh,5,2,354.2041482,0.02482,0
KM+CH,riyadh,5,2,356.6183618,0.0255733,0
KM+GAR,riyadh,5,2,353.7899346,1.0790787,0
KM+GI,riyadh,5,2,558.8904397,0.0249739,0
KM+GR,riyadh,5,2,354.2041482,0.024862,0
BF+GI,rome,5,2,324.5056634,0.0012463,0
BFTG,rome,5,2,324.5056634,0.0039757,0
CH+GI,rome,5,2,353.5056634,0.0143077,0
GAC+GI,rome,5,2,500.9493142,2.894331,0
GAC+GR,rome,5,2,324.5056634,2.4532493,0
GAC+GR+BF,rome,5,2,324.5056634,2.4532248,0
GACC+GI,rome,5,2,500.9493142,2.5255679,0
GACC+GR,rome,5,2,324.5056634,1.8188112,0
GACC+GR+BF,rome,5,2,324.5056634,1.8188136,0
GAR+GI,rome,5,2,324.5056634,0.8042081,0
GATG,rome,5,2,324.5056634,0.5505491,0
GITG,rome,5,2,353.5056634,0.0012035,0
GR+GI,rome,5,2,324.5056634,2.86E-05,0
KM+BF,rome,5,2,353.5056634,0.0131983,0
KM+CH,rome,5,2,353.5056634,0.0139483,0
KM+GAR,rome,5,2,353.5056634,0.7606668,0
KM+GI,rome,5,2,502.156421,0.0135016,0
KM+GR,rome,5,2,353.5056634,0.0133527,0
BF+GI,san_francisco,5,2,407.8610024,0.0010889,0
BFTG,san_francisco,5,2,356.1036431,0.0046137,0
CH+GI,san_francisco,5,2,409.275216,0.0010688,0
GAC+GI,san_francisco,5,2,558.8904397,4.4147673,0
GAC+GR,san_francisco,5,2,356.1036431,2.9245144,0
GAC+GR+BF,san_francisco,5,2,356.1036431,2.924509,0
GACC+GI,san_francisco,5,2,558.8904397,3.0410351,0
GACC+GR,san_francisco,5,2,356.1036431,1.9678416,0
GACC+GR+BF,san_francisco,5,2,356.1036431,1.9678253,0
GAR+GI,san_francisco,5,2,407.8610024,0.83189,0
GATG,san_francisco,5,2,356.1036431,0.9444655,0
GITG,san_francisco,5,2,409.275216,0.0012735,0
GR+GI,san_francisco,5,2,370.1036431,2.14E-05,0
KM+BF,san_francisco,5,2,437.4467889,0.014651,0
KM+CH,san_francisco,5,2,437.4467889,0.0153546,0
KM+GAR,san_francisco,5,2,437.4467889,1.0986816,0
KM+GI,san_francisco,5,2,573.3757211,0.0145716,0
KM+GR,san_francisco,5,2,437.4467889,0.0144496,0
BF+GI,shanghai,5,2,773.5148981,0.001167,0
BFTG,shanghai,5,2,723.3077913,0.0039723,0
